instrument,symbol,base_currency,base_symbol,quote_currency,quote_symbol,instrument_type,contract_type,contract_value,max_leverage,min_size,lot_size,tick_size,digits,max_limit_size,max_market_size,leverage,margin_mode,martingale_factor,bulk_collection_rate,interval_collection_rate,sma_factor,trade_period,trade_timeframe,timeframe_units,trade_state,trade_status,suspense,list_time,expiry_time
75411C,1000000BABYDOGE-USDT,00413B,1000000BABYDOGE,350FE2,USDT,SWAP,linear,1000,25,1,1,1E-07,8,60000,12000,0,cross,0,,,,,,,1697FE,Disabled,0,"2024/06/12 04:00:05","2050/11/30 08:00:00"
6CF8CE,1000000BOB-USDT,A33370,1000000BOB,350FE2,USDT,SWAP,linear,10,50,1,1,1E-05,6,900000,20000,0,cross,0,,,,,,,1697FE,Disabled,0,"2025/06/05 02:00:00","2124/08/01 03:00:00"
522F94,1000000MOG-USDT,9EBC23,1000000MOG,350FE2,USDT,SWAP,linear,1,75,1,1,0.0001,5,170000,34000,0,cross,0,,,,,,,1697FE,Disabled,0,"2024/05/27 03:30:05","2050/11/30 08:00:00"
08A048,1000000PEIPEI-USDT,A7EAB0,1000000PEIPEI,350FE2,USDT,SWAP,linear,10,12,1,1,1E-05,6,25000,5000,0,cross,0,,,,,,,14E7C6,Suspended,1,"2024/07/05 03:30:00","2028/12/31 08:00:00"
662B38,10000COQ-USDT,23F9A6,10000COQ,350FE2,USDT,SWAP,linear,100,12,1,1,1E-06,7,25000,5000,0,cross,0,,,,,,,14E7C6,Suspended,1,"2024/03/13 03:30:05","2030/11/30 08:00:00"
A1803A,10000SATS-USDT,220F94,10000SATS,350FE2,USDT,SWAP,linear,1,25,1,1,1E-07,8,132210000,12000000,0,cross,0,,,,,,,1697FE,Disabled,0,"2023/11/16 20:30:05","2030/11/16 19:22:08"
3BFCF0,1000APU-USDT,CCE5AA,1000APU,350FE2,USDT,SWAP,linear,10,25,0.1,0.1,0.0001,5,7500,1500,0,cross,0,,,,,,,14E7C6,Suspended,1,"2024/06/21 03:30:05","2050/11/30 08:00:00"
57A8C0,1000BONK-USDT,38FC11,1000BONK,350FE2,USDT,SWAP,linear,1000,75,0.1,0.1,1E-06,7,40000,6000,0,cross,0,,,,,,,1697FE,Disabled,0,"2023/11/16 00:30:05","2030/11/30 20:30:00"
968E0E,1000BTT-USDT,A9E9C4,1000BTT,350FE2,USDT,SWAP,linear,10000,25,0.1,0.1,1E-07,8,7837,784,0,cross,0,,,,,,,14E7C6,Suspended,1,"2023/11/16 00:30:05","2125/07/27 02:39:24.553"
240F75,1000CATS-USDT,CF4A50,1000CATS,350FE2,USDT,SWAP,linear,100,12,1,1,1E-06,7,6000,1200,0,cross,0,,,,,,,14E7C6,Suspended,1,"2024/10/16 03:00:00","2049/10/16 00:40:55"
74600000,1000CHEEMS-USDT,E8F144,1000CHEEMS,350FE2,USDT,SWAP,linear,10000,75,0.1,0.1,1E-07,8,100000,5000,0,cross,0,,,,,,,1697FE,Disabled,0,"2024/11/25 04:15:00","2049/11/25 02:40:13"
3E3BAB,1000FLOKI-USDT,05D543,1000FLOKI,350FE2,USDT,SWAP,linear,1,75,1,1,1E-05,6,5249800,638000,0,cross,0,,,,,,,1697FE,Disabled,0,"2023/10/18 01:30:00","2029/10/10 01:30:00"
F46D2C,1000MUMU-USDT,3A381E,1000MUMU,350FE2,USDT,SWAP,linear,100,12,1,1,1E-06,7,7750,1550,0,cross,0,,,,,,,14E7C6,Suspended,1,"2024/09/23 04:30:00","2049/09/23 03:36:16"
8C6DD8,1000RATS-USDT,CCE673,1000RATS,350FE2,USDT,SWAP,linear,1,25,1,1,1E-05,6,1000000,1000000,0,cross,0,,,,,,,1697FE,Disabled,0,"2023/11/22 20:30:05","2125/06/19 23:43:40.494"
47C866,1000WHY-USDT,5.17E+72,1000WHY,350FE2,USDT,SWAP,linear,10000,25,1,1,1E-07,8,400000,100000,0,cross,0,,,,,,,1697FE,Disabled,0,"2024/11/25 04:15:00","2049/11/25 02:40:13"
3D9DC7,1000XEC-USDT,D89529,1000XEC,350FE2,USDT,SWAP,linear,1,75,1,1,1E-05,6,42501800,2900000,0,cross,0,,,,,,,14E7C6,Suspended,1,"2023/10/18 01:30:00","2125/07/27 02:39:01.134"
B8A89B,1INCH-USDT,AAC586,1INCH,350FE2,USDT,SWAP,linear,1,20,1,1,0.0001,5,75120000,130000,0,cross,0,,,,,,,1697FE,Disabled,0,"2023/08/14 01:30:05","2028/12/31 08:00:00"
D35A19,A-USDT,F2D4B3,A,350FE2,USDT,SWAP,linear,1,75,1,1,0.0001,5,1000000,100000,0,cross,0,,,,,,,1697FE,Disabled,0,"2025/05/28 01:15:00","2124/08/01 03:00:00"
AA58B8,A2Z-USDT,ACB738,A2Z,350FE2,USDT,SWAP,linear,100,75,1,1,1E-06,7,1500000,200000,0,cross,0,,,,,,,1697FE,Disabled,0,"2025/07/30 01:15:00","2124/08/01 03:00:00"
7C4C45,AAVE-USDT,28055D,AAVE,350FE2,USDT,SWAP,linear,0.1,50,0.1,0.1,0.01,3,500000,12000,0,cross,0,,,,,,,1697FE,Disabled,0,"2023/01/12 02:00:00","2029/11/30 08:00:00"
358899,ACE-USDT,85A582,ACE,350FE2,USDT,SWAP,linear,1,20,1,1,0.0001,5,20000000,10000,0,cross,0,,,,,,,1697FE,Disabled,0,"2023/12/18 00:30:05","2029/11/30 08:00:00"
4381DA,ACH-USDT,4ED540,ACH,350FE2,USDT,SWAP,linear,10,20,1,1,1E-05,6,60000000,100000,0,cross,0,,,,,,,1697FE,Disabled,0,"2023/04/12 01:30:05","2028/12/31 08:00:00"
F490FD,ACT-USDT,690671,ACT,350FE2,USDT,SWAP,linear,10,50,1,1,1E-05,6,300000,30000,0,cross,0,,,,,,,1697FE,Disabled,0,"2024/11/11 04:30:00","2049/11/11 01:51:00"
BA22C8,ACX-USDT,D19707,ACX,350FE2,USDT,SWAP,linear,1,50,1,1,0.0001,5,800000,300000,0,cross,0,,,,,,,1697FE,Disabled,0,"2024/12/09 02:00:00","2049/12/08 23:42:23"
6378C2,ADA-USD,450FFA,ADA,2612A3,USD,SWAP,inverse,1,20,1,1,0.0001,5,20000000,100000,0,cross,0,,,,,,,1697FE,Disabled,0,"2025/06/27 03:00:00","2124/08/01 03:00:00"
8F7167,ADA-USDC,450FFA,ADA,5B70F6,USDC,SWAP,linear,1,25,1,1,0.0001,5,1000000,100000,0,cross,0,,,,,,,1697FE,Disabled,0,"2025/08/18 02:00:00","2124/08/01 03:00:00"
3ED462,ADA-USDT,450FFA,ADA,350FE2,USDT,SWAP,linear,100,50,0.01,0.01,0.0001,5,200000,4500,0,cross,0,,,,,,,1697FE,Disabled,0,"2023/01/12 02:00:00","2029/11/30 08:00:00"
E46138,AERGO-USDT,D004DA,AERGO,350FE2,USDT,SWAP,linear,1,50,1,1,1E-05,6,2000000,100000,0,cross,0,,,,,,,14E7C6,Suspended,1,"2025/04/16 04:15:00","2124/11/15 08:00:00"
BC3117,AERO-USDT,111EBD,AERO,350FE2,USDT,SWAP,linear,1,25,1,1,0.0001,5,150000,30000,0,cross,0,,,,,,,1697FE,Disabled,0,"2024/07/16 01:30:00","2048/12/31 08:00:00"
0B266D,AEVO-USDT,10B9D7,AEVO,350FE2,USDT,SWAP,linear,1,20,1,1,1E-05,6,42780000,30000,0,cross,0,,,,,,,1697FE,Disabled,0,"2024/03/13 07:30:05","2125/05/14 07:24:37.373"
25F473,AGI-USDT,39C104,AGI,350FE2,USDT,SWAP,linear,10,25,1,1,1E-05,6,44700,4500,0,cross,0,,,,,,,1697FE,Disabled,0,"2024/02/29 02:30:05","2030/11/30 08:00:00"
EA6B1F,AGLD-USDT,D6F1B5,AGLD,350FE2,USDT,SWAP,linear,1,20,1,1,0.0001,5,10000000,54000,0,cross,0,,,,,,,1697FE,Disabled,0,"2023/08/04 03:30:05","2028/12/31 08:00:00"
71CE96,AGT-USDT,438253,AGT,350FE2,USDT,SWAP,linear,100,50,1,1,1E-06,7,300000,20000,0,cross,0,,,,,,,1697FE,Disabled,0,"2025/05/20 03:45:00","2124/08/01 03:00:00"
9CD00D,AI-USDT,29F149,AI,350FE2,USDT,SWAP,linear,1,50,1,1,1E-05,6,1000000,70000,0,cross,0,,,,,,,1697FE,Disabled,0,"2024/01/08 05:00:05","2029/12/31 08:00:00"
19C07F,AI16Z-USDT,55237C,AI16Z,350FE2,USDT,SWAP,linear,1,50,1,1,0.0001,5,5000000,200000,0,cross,0,,,,,,,1697FE,Disabled,0,"2025/01/02 06:00:00","2049/01/02 03:34:31"
58544E,AIDOGE-USDT,D65F9E,AIDOGE,350FE2,USDT,SWAP,linear,10000000000,10,1,1,1E-13,14,13600000,15000,0,cross,0,,,,,,,14E7C6,Suspended,1,"2023/08/04 03:30:05","2048/12/31 08:00:00"
0585F3,AIN-USDT,4BADED,AIN,350FE2,USDT,SWAP,linear,10,50,1,1,1E-05,6,400000,10000,0,cross,0,,,,,,,1697FE,Disabled,0,"2025/07/10 04:00:00","2124/08/01 03:00:00"
9E3C30,AIO-USDT,77294B,AIO,350FE2,USDT,SWAP,linear,10,50,1,1,1E-05,6,1000000,50000,0,cross,0,,,,,,,1697FE,Disabled,0,"2025/08/13 04:45:00","2124/08/01 03:00:00"
ADB2AA,AIOT-USDT,EB7B8E,AIOT,350FE2,USDT,SWAP,linear,10,25,1,1,0.0001,5,500000,20000,0,cross,0,,,,,,,1697FE,Disabled,0,"2025/04/30 05:45:00","2124/08/01 03:00:00"
8590EC,AIOZ-USDT,C9FC46,AIOZ,350FE2,USDT,SWAP,linear,10,25,0.1,0.1,0.0001,5,15000,3000,0,cross,0,,,,,,,1697FE,Disabled,0,"2024/11/29 02:30:00","2049/11/29 00:58:44"
84383A,AIXBT-USDT,9.11E+42,AIXBT,350FE2,USDT,SWAP,linear,10,75,1,1,1E-05,6,400000,70000,0,cross,0,,,,,,,1697FE,Disabled,0,"2024/12/21 01:00:00","2049/11/26 03:00:00"
42012E,AKT-USDT,1E0526,AKT,350FE2,USDT,SWAP,linear,1,50,1,1,0.001,4,40000,8000,0,cross,0,,,,,,,1697FE,Disabled,0,"2024/06/26 04:00:00","2029/10/31 09:00:00"
D8EED3,ALCH-USDT,F04F94,ALCH,350FE2,USDT,SWAP,linear,10,50,1,1,1E-05,6,500000,50000,0,cross,0,,,,,,,1697FE,Disabled,0,"2025/01/07 04:10:00","2049/01/07 01:47:04"
5F7452,ALEO-USDT,69CFCC,ALEO,350FE2,USDT,SWAP,linear,1,25,1,1,0.0001,5,29000,5800,0,cross,0,,,,,,,1697FE,Disabled,0,"2024/09/19 04:30:00","2049/09/19 03:39:50"
35C1FF,ALGO-USDT,38A3FF,ALGO,350FE2,USDT,SWAP,linear,10,50,1,1,0.0001,5,3594000,28000,0,cross,0,,,,,,,1697FE,Disabled,0,"2023/01/12 02:00:00","2029/11/30 08:00:00"
3C6ACC,ALICE-USDT,9E0BC2,ALICE,350FE2,USDT,SWAP,linear,0.1,50,1,1,0.001,4,500000,500000,0,cross,0,,,,,,,1697FE,Disabled,0,"2023/10/18 01:30:00","2029/10/10 01:30:00"
1124A0,ALPACA-USDT,A799C6,ALPACA,350FE2,USDT,SWAP,linear,10,5,1,1,1E-05,6,600000,70000,0,cross,0,,,,,,,14E7C6,Suspended,1,"2024/08/22 04:00:00","2039/08/22 01:44:14"
12AD51,ALPHA-USDT,513052,ALPHA,350FE2,USDT,SWAP,linear,1,25,1,1,1E-05,6,6578600,500000,0,cross,0,,,,,,,1697FE,Disabled,0,"2023/10/18 01:30:00","2029/10/10 01:30:00"
0E14D7,ALPINE-USDT,36F83D,ALPINE,350FE2,USDT,SWAP,linear,1,50,1,1,0.0001,5,1000000,100000,0,cross,0,,,,,,,1697FE,Disabled,0,"2025/05/06 03:00:00","2124/08/01 03:00:00"
A88256,ALT-USDT,FFF0F5,ALT,350FE2,USDT,SWAP,linear,1,50,1,1,1E-05,6,10000000,1000000,0,cross,0,,,,,,,1697FE,Disabled,0,"2024/01/30 02:00:05","2030/11/30 20:30:00"
B9DE96,ALU-USDT,1A5FB0,ALU,350FE2,USDT,SWAP,linear,10,12,1,1,1E-06,7,90000,18000,0,cross,0,,,,,,,14E7C6,Suspended,1,"2025/01/15 01:00:00","2049/01/14 18:50:30"
2840EC,AMB-USDT,9BA7C3,AMB,350FE2,USDT,SWAP,linear,1,8,1,1,1E-06,7,10000000,2300000,0,cross,0,,,,,,,14E7C6,Suspended,1,"2023/10/18 01:30:00","2029/10/10 01:30:00"
34D821,ANIME-USDT,A73ACF,ANIME,350FE2,USDT,SWAP,linear,10,50,1,1,1E-05,6,60000000,100000,0,cross,0,,,,,,,1697FE,Disabled,0,"2025/01/23 07:15:00","2049/01/23 06:41:55"
D2DF12,ANKR-USDT,BFE226,ANKR,350FE2,USDT,SWAP,linear,100,75,1,1,1E-05,6,558500,50000,0,cross,0,,,,,,,1697FE,Disabled,0,"2023/08/04 03:30:05","2028/12/31 08:00:00"
52413C,APE-USDT,DF39E4,APE,350FE2,USDT,SWAP,linear,0.1,20,1,1,0.0001,5,100000000,210000,0,cross,0,,,,,,,1697FE,Disabled,0,"2023/04/12 01:30:05","2028/12/31 08:00:00"
58ACAF,API3-USDT,0A26E4,API3,350FE2,USDT,SWAP,linear,1,20,1,1,0.0001,5,12660000,14000,0,cross,0,,,,,,,1697FE,Disabled,0,"2023/10/18 01:30:00","2029/10/10 01:30:00"
A404BB,APT-USDT,085D37,APT,350FE2,USDT,SWAP,linear,1,50,0.1,0.1,0.001,4,2100000,25000,0,cross,0,,,,,,,1697FE,Disabled,0,"2023/01/12 02:00:00","2029/11/30 08:00:00"
AD4544,AR-USDT,2FD576,AR,350FE2,USDT,SWAP,linear,0.1,20,1,1,0.001,4,13260000,90000,0,cross,0,,,,,,,1697FE,Disabled,0,"2023/10/18 01:30:00","2029/10/10 01:30:00"
163B9E,ARB-USDT,687412,ARB,350FE2,USDT,SWAP,linear,1,20,1,1,0.0001,5,30234000,220000,0,cross,0,,,,,,,1697FE,Disabled,0,"2023/03/23 07:00:05","2029/12/30 08:00:00"
737A10,ARC-USDT,63A383,ARC,350FE2,USDT,SWAP,linear,10,50,1,1,1E-05,6,600000,180000,0,cross,0,1440,4,60,CA3449,15m,15,7C7AB8,Enabled,0,"2025/01/03 03:30:00","2049/01/03 01:40:20"
3381F4,ARIA-USDT,465BC4,ARIA,350FE2,USDT,SWAP,linear,10,50,1,1,1E-05,6,900000,100000,0,cross,0,,,,,,,1697FE,Disabled,0,"2025/09/03 04:15:00","2124/08/01 03:00:00"
1BC6A8,ARK-USDT,DB85A7,ARK,350FE2,USDT,SWAP,linear,1,25,1,1,0.0001,5,10000000,150000,0,cross,0,,,,,,,1697FE,Disabled,0,"2023/10/18 01:30:00","2029/10/10 01:30:00"
76C713,ARKM-USDT,70CB27,ARKM,350FE2,USDT,SWAP,linear,1,75,1,1,0.0001,5,5000000,100000,0,cross,0,,,,,,,1697FE,Disabled,0,"2023/10/18 01:30:00","2029/10/10 01:30:00"
89071F,ARPA-USDT,C344E0,ARPA,350FE2,USDT,SWAP,linear,1,50,1,1,1E-05,6,10000000,2000000,0,cross,0,,,,,,,1697FE,Disabled,0,"2023/08/04 03:30:05","2028/12/31 08:00:00"
4810000000,ASP-USDT,61B204,ASP,350FE2,USDT,SWAP,linear,10,25,1,1,0.0001,5,30000,6000,0,cross,0,,,,,,,1697FE,Disabled,0,"2025/07/25 03:00:00","2124/08/01 03:00:00"
3E7671,ASR-USDT,488284,ASR,350FE2,USDT,SWAP,linear,1,50,1,1,0.001,4,500000,40000,0,cross,0,,,,,,,1697FE,Disabled,0,"2025/05/06 02:45:00","2124/08/01 03:00:00"
C8A600,ASTR-USDT,CB40E1,ASTR,350FE2,USDT,SWAP,linear,1,50,1,1,1E-06,7,10000000,600000,0,cross,0,,,,,,,1697FE,Disabled,0,"2023/08/04 03:30:05","2028/12/31 08:00:00"
DB2ED1,ATA-USDT,90E41A,ATA,350FE2,USDT,SWAP,linear,100,50,0.1,0.1,0.0001,5,100000,10000,0,cross,0,,,,,,,1697FE,Disabled,0,"2023/08/14 01:30:05","2028/12/31 08:00:00"
C8BBBC,ATH-USDT,FA564F,ATH,350FE2,USDT,SWAP,linear,100,20,1,1,1E-05,6,3000000,20000,0,cross,0,,,,,,,1697FE,Disabled,0,"2024/06/13 05:30:05","2050/11/30 08:00:00"
B48F3E,ATOM-USDT,6CE49D,ATOM,350FE2,USDT,SWAP,linear,1,50,1,1,0.001,4,2500000,14000,0,cross,0,,,,,,,1697FE,Disabled,0,"2023/01/12 02:00:00","2029/11/30 08:00:00"
AFDFCF,AUCTION-USDT,191F0E,AUCTION,350FE2,USDT,SWAP,linear,0.1,20,1,1,0.001,4,8000000,100000,0,cross,0,,,,,,,1697FE,Disabled,0,"2023/12/01 02:30:05","2029/12/01 01:17:06"
166B35,AVA-USDT,D158DB,AVA,350FE2,USDT,SWAP,linear,1,50,1,1,0.0001,5,400000,35000,0,cross,0,,,,,,,1697FE,Disabled,0,"2024/12/13 05:15:00","2049/11/26 03:00:00"
79514E,AVAAI-USDT,313977,AVAAI,350FE2,USDT,SWAP,linear,10,50,1,1,1E-05,6,400000,200000,0,cross,0,,,,,,,1697FE,Disabled,0,"2025/01/08 03:30:00","2049/01/08 02:18:14"
7A3283,AVAIL-USDT,D03EE7,AVAIL,350FE2,USDT,SWAP,linear,10,12,1,1,1E-05,6,40000,8000,0,cross,0,,,,,,,14E7C6,Suspended,1,"2024/07/25 04:00:00","2048/12/31 08:00:00"
681CC8,AVAX-USDT,6719C9,AVAX,350FE2,USDT,SWAP,linear,1,50,0.1,0.1,0.001,4,480000,5200,0,cross,0,,,,,,,1697FE,Disabled,0,"2023/01/12 02:00:00","2029/11/30 08:00:00"
598920,AWE-USDT,D5723E,AWE,350FE2,USDT,SWAP,linear,10,25,1,1,1E-05,6,1500000,10000,0,cross,0,,,,,,,1697FE,Disabled,0,"2025/05/21 01:15:00","2124/08/01 03:00:00"
4D4000,AXL-USDT,D38F9A,AXL,350FE2,USDT,SWAP,linear,1,50,1,1,0.0001,5,1000000,600000,0,cross,0,,,,,,,1697FE,Disabled,0,"2023/12/07 06:30:05","2029/12/07 05:39:09"
080BDA,AXS-USDT,7B35DA,AXS,350FE2,USDT,SWAP,linear,0.1,20,1,1,0.001,4,39550000,80000,0,cross,0,,,,,,,1697FE,Disabled,0,"2023/01/12 02:00:00","2029/11/30 08:00:00"
3454A9,B-USDT,BC3774,B,350FE2,USDT,SWAP,linear,10,50,1,1,0.0001,5,400000,20000,0,cross,0,,,,,,,1697FE,Disabled,0,"2025/05/22 19:00:00","2124/08/01 03:00:00"
15AD90,B2-USDT,35AC00,B2,350FE2,USDT,SWAP,linear,1,50,1,1,0.0001,5,1500000,150000,0,cross,0,,,,,,,1697FE,Disabled,0,"2025/05/06 06:45:00","2124/08/01 03:00:00"
70F40E,B3-USDT,88B05B,B3,350FE2,USDT,SWAP,linear,100,50,1,1,1E-06,7,800000,160000,0,cross,0,,,,,,,1697FE,Disabled,0,"2025/02/13 03:45:00","2049/02/13 01:53:49"
