instId,baseCurrency,quoteCurrency,contractValue,listTime,expireTime,maxLeverage,minSize,lotSize,tickSize,instType,contractType,maxLimitSize,maxMarketSize,state,thresholdX,thresholdY,thresholdZ,settleCurrency
WCT-USDT,WCT,USDT,1,1744715700000,4878180000000,50,1,1,0.0001,SWAP,linear,2500000,100000,live,0.04,0.04,0.3,USDT
KERNEL-USDT,KERNEL,USDT,1,1744632900000,4130910000000,50,1,1,0.0001,SWAP,linear,3000000,600000,live,0.04,0.04,0.3,USDT
PROMPT-USDT,PROMPT,USDT,10,1744299000000,2521537200000,40,1,1,0.00001,SWAP,linear,1000000,50000,live,0.04,0.02,0.3,USDT
BABY-USDT,BABY,USDT,10,1744283700000,2521537200000,75,1,1,0.00001,SWAP,linear,16666000,100000,live,0.04,0.02,0.3,USDT
FORTH-USDT,FORTH,USDT,1,1744101900000,2521537200000,50,1,1,0.001,SWAP,linear,500000,20000,live,0.04,0.04,0.3,USDT
GUN-USDT,GUN,USDT,10,1743426900000,2521537200000,50,1,1,0.00001,SWAP,linear,10000000,240000,live,0.04,0.04,0.3,USDT
FUN-USDT,FUN,USDT,1,1743414000000,2521900800000,50,1,1,0.000001,SWAP,linear,200000000,25000000,live,0.04,0.04,0.3,USDT
MLN-USDT,MLN,USDT,0.1,1743411600000,2521537200000,50,1,1,0.001,SWAP,linear,900000,90000,live,0.04,0.04,0.3,USDT
WAL-USDT,WAL,USDT,1,1743090300000,2521537200000,75,1,1,0.0001,SWAP,linear,2000000,200000,live,0.04,0.04,0.3,USDT
PARTI-USDT,PARTI,USDT,1,1742908500000,2521537200000,50,1,1,0.00001,SWAP,linear,3000000,300000,live,0.04,0.04,0.3,USDT
NIL-USDT,NIL,USDT,1,1742821800000,2521537200000,50,1,1,0.00001,SWAP,linear,1000000,200000,live,0.04,0.04,0.3,USDT
BANANAS31-USDT,BANANAS31,USDT,100,1742635800000,2521537200000,50,1,1,0.000001,SWAP,linear,2500000,100000,live,0.04,0.04,0.3,USDT
BROCCOLIF3B-USDT,BROCCOLIF3B,USDT,100,1742549400000,2521537200000,40,1,1,0.000001,SWAP,linear,500000,20000,live,0.04,0.04,0.3,USDT
BROCCOLI714-USDT,BROCCOLI714,USDT,100,1742548500000,2521537200000,50,1,1,0.00001,SWAP,linear,200000,20000,live,0.04,0.04,0.3,USDT
BID-USDT,BID,USDT,10,1742463900000,2521537200000,10,1,1,0.00001,SWAP,linear,1500000,150000,live,0.04,0.04,0.3,USDT
TUT-USDT,TUT,USDT,10,1742462100000,2521537200000,50,1,1,0.00001,SWAP,linear,2000000,200000,live,0.04,0.04,0.3,USDT
FORM-USDT,FORM,USDT,1,1742374800000,2499753143000,50,1,1,0.0001,SWAP,linear,600000,300000,live,0.04,0.04,0.3,USDT
MUBARAK-USDT,MUBARAK,USDT,10,1742220000000,2499595667000,50,1,1,0.00001,SWAP,linear,1000000,100000,live,0.04,0.04,0.3,USDT
MAVIA-USDT,MAVIA,USDT,1,1742211000000,2521900800000,20,1,1,0.00001,SWAP,linear,75000,55000,live,0.04,0.04,0.3,USDT
BMT-USDT,BMT,USDT,10,1741861800000,2499240906000,25,1,1,0.00001,SWAP,linear,33000,15000,live,0.04,0.04,0.3,USDT
EPIC-USDT,EPIC,USDT,1,1741856400000,2499236269000,50,1,1,0.0001,SWAP,linear,500000,20000,live,0.04,0.04,0.3,USDT
VIC-USDT,VIC,USDT,10,1741836600000,2499214345000,50,1,1,0.0001,SWAP,linear,300000,30000,live,0.04,0.04,0.3,USDT
RED-USDT,RED,USDT,1,1741269600000,2498650718000,50,1,1,0.0001,SWAP,linear,125000,25000,live,0.04,0.04,0.3,USDT
KAITO-USDT,KAITO,USDT,1,1740060900000,2497416200000,50,1,1,0.0001,SWAP,linear,12500000,100000,live,0.04,0.02,0.3,USDT
GPS-USDT,GPS,USDT,10,1739812500000,2497187817000,50,1,1,0.000001,SWAP,linear,700000,80000,live,0.04,0.04,0.3,USDT
SHELL-USDT,SHELL,USDT,1,1739792700000,2497173252000,50,1,1,0.00001,SWAP,linear,355000,71000,live,0.04,0.04,0.3,USDT
B3-USDT,B3,USDT,100,1739447100000,2496822829000,50,1,1,0.000001,SWAP,linear,800000,160000,live,0.04,0.04,0.3,USDT
IP-USDT,IP,USDT,1,1739441700000,2496811921000,75,1,1,0.001,SWAP,linear,4010000,20000,live,0.04,0.02,0.3,USDT
LAYER-USDT,LAYER,USDT,1,1739285100000,2496658048000,20,1,1,0.0001,SWAP,linear,19160575,100000,live,0.04,0.02,0.3,USDT
TST-USDT,TST,USDT,10,1739176200000,2496555111000,50,1,1,0.00001,SWAP,linear,200000,20000,live,0.04,0.04,0.3,USDT
BERA-USDT,BERA,USDT,0.1,1738850700000,2496208593000,75,1,1,0.001,SWAP,linear,1040000,300000,live,0.04,0.04,0.3,USDT
JELLYJELLY-USDT,JELLYJELLY,USDT,10,1738239000000,2495617632000,20,1,1,0.000001,SWAP,linear,50000,10000,live,0.04,0.15,0.15,USDT
VVV-USDT,VVV,USDT,0.1,1738144800000,2495523770000,50,1,1,0.001,SWAP,linear,900000,200000,live,0.04,0.04,0.3,USDT
PLUME-USDT,PLUME,USDT,10,1737718200000,2495095672000,50,1,1,0.00001,SWAP,linear,70000,14000,live,0.04,0.04,0.3,USDT
VINE-USDT,VINE,USDT,10,1737713700000,2495085913000,50,1,1,0.00001,SWAP,linear,400000,40000,live,0.04,0.04,0.3,USDT
ANIME-USDT,ANIME,USDT,10,1737645300000,2495025715000,50,1,1,0.000001,SWAP,linear,60000000,100000,live,0.04,0.02,0.3,USDT
VTHO-USDT,VTHO,USDT,100,1737539100000,2494914029000,50,1,1,0.000001,SWAP,linear,1000000,50000,live,0.04,0.04,0.3,USDT
MELANIA-USDT,MELANIA,USDT,0.1,1737356400000,2494736012000,75,1,1,0.0001,SWAP,linear,645000,900000,live,0.04,0.04,0.3,USDT
TRUMP-USDT,TRUMP,USDT,0.1,1737206100000,2494580545000,75,1,1,0.001,SWAP,linear,5000000,500000,live,0.04,0.04,0.3,USDT
PIPPIN-USDT,PIPPIN,USDT,10,1737113400000,2494492783000,50,1,1,0.00001,SWAP,linear,300000,400000,live,0.04,0.04,0.3,USDT
SOLV-USDT,SOLV,USDT,100,1737113400000,2494490664000,20,1,1,0.00001,SWAP,linear,500000,10000,live,0.04,0.02,0.3,USDT
S-USDT,S,USDT,1,1737012000000,2494378770000,75,1,1,0.0001,SWAP,linear,9000000,26000,live,0.04,0.04,0.3,USDT
FLOCK-USDT,FLOCK,USDT,10,1736420400000,2493799586000,50,1,1,0.0001,SWAP,linear,450000,47000,live,0.04,0.04,0.3,USDT
AVAAI-USDT,AVAAI,USDT,10,1736335800000,2493713894000,50,1,1,0.00001,SWAP,linear,7000000,700000,live,0.04,0.04,0.3,USDT
SONIC-USDT,SONIC,USDT,1,1736317800000,4918413345064,10,1,1,0.0001,SWAP,linear,35000000,100000,live,0.04,0.02,0.3,USDT
ALCH-USDT,ALCH,USDT,10,1736251800000,2493625624000,50,1,1,0.00001,SWAP,linear,500000,50000,live,0.04,0.04,0.3,USDT
COOKIE-USDT,COOKIE,USDT,10,1736250300000,2493625624000,75,1,1,0.00001,SWAP,linear,150000,10000,live,0.04,0.04,0.3,USDT
SWARMS-USDT,SWARMS,USDT,10,1736165400000,2521537200000,50,1,1,0.00001,SWAP,linear,500000,500000,live,0.04,0.04,0.3,USDT
ARC-USDT,ARC,USDT,10,1735903800000,2493279620000,50,1,1,0.00001,SWAP,linear,600000,180000,live,0.04,0.04,0.3,USDT
BIO-USDT,BIO,USDT,1,1735902000000,2493270891000,75,1,1,0.00001,SWAP,linear,20000000,2000000,live,0.04,0.04,0.3,USDT
PHA-USDT,PHA,USDT,10,1735561800000,2521537200000,50,1,1,0.00001,SWAP,linear,200000,20000,live,0.04,0.04,0.3,USDT
ZEREBRO-USDT,ZEREBRO,USDT,10,1735297200000,4914035012363,50,1,1,0.00001,SWAP,linear,3300000,300000,live,0.04,0.04,0.3,USDT
GRIFFAIN-USDT,GRIFFAIN,USDT,10,1735297200000,2521537200000,20,1,1,0.00001,SWAP,linear,10000000,400000,live,0.04,0.04,0.3,USDT
DEXE-USDT,DEXE,USDT,1,1735042200000,2493043200000,50,0.1,0.1,0.001,SWAP,linear,800000,10000,live,0.04,0.04,0.3,USDT
AIXBT-USDT,AIXBT,USDT,10,1734771600000,2521537200000,75,1,1,0.00001,SWAP,linear,400000,70000,live,0.04,0.04,0.3,USDT
KMNO-USDT,KMNO,USDT,10,1734771600000,2521537200000,50,1,1,0.00001,SWAP,linear,500000,30000,live,0.04,0.04,0.3,USDT
CGPT-USDT,CGPT,USDT,10,1734771600000,2521537200000,50,1,1,0.00001,SWAP,linear,500000,10000,live,0.04,0.04,0.3,USDT
FARTCOIN-USDT,FARTCOIN,USDT,1,1734692400000,2523606470000,75,1,1,0.0001,SWAP,linear,36000000,100000,live,0.04,0.04,0.3,USDT
HYPE-USDT,HYPE,USDT,0.1,1734607800000,2523522036000,75,1,1,0.001,SWAP,linear,49000,9800,live,0.04,0.04,0.3,USDT
USUAL-USDT,USUAL,USDT,1,1734527700000,2523437512000,75,1,1,0.00001,SWAP,linear,1000000,800000,live,0.04,0.04,0.3,USDT
PENGU-USDT,PENGU,USDT,100,1734453000000,2523361488000,75,1,1,0.000001,SWAP,linear,500000,40000,live,0.04,0.04,0.3,USDT
VANA-USDT,VANA,USDT,0.1,1734356700000,2523267514000,75,1,1,0.001,SWAP,linear,4000000,200000,live,0.04,0.04,0.3,USDT
VELODROME-USDT,VELODROME,USDT,10,1734094800000,2523008880000,50,1,1,0.00001,SWAP,linear,300000,90000,live,0.04,0.04,0.3,USDT
DEGO-USDT,DEGO,USDT,1,1734096600000,2521537200000,40,1,1,0.0001,SWAP,linear,300000,30000,live,0.04,0.2,0.3,USDT
AVA-USDT,AVA,USDT,1,1734095700000,2521537200000,50,1,1,0.0001,SWAP,linear,2000000,200000,live,0.04,0.04,0.3,USDT
ME-USDT,ME,USDT,1,1733913000000,2522827204000,50,1,1,0.0001,SWAP,linear,200000,20000,live,0.04,0.04,0.3,USDT
MOVE-USDT,MOVE,USDT,10,1733753700000,2522665200000,75,1,1,0.00001,SWAP,linear,150000,100000,live,0.04,0.04,0.3,USDT
ACX-USDT,ACX,USDT,1,1733738400000,2522648543000,50,1,1,0.00001,SWAP,linear,800000,300000,live,0.04,0.04,0.3,USDT
VIRTUAL-USDT,VIRTUAL,USDT,1,1733399100000,2522312056000,75,1,1,0.0001,SWAP,linear,600000,80000,live,0.04,0.04,0.3,USDT
AIOZ-USDT,AIOZ,USDT,10,1732876200000,2521789124000,25,0.1,0.1,0.00001,SWAP,linear,15000,3000,live,0.04,0.04,0.3,USDT
THE-USDT,THE,USDT,1,1732710600000,2521620822000,50,1,1,0.0001,SWAP,linear,700000,100000,live,0.04,0.04,0.3,USDT
MORPHO-USDT,MORPHO,USDT,1,1732618800000,2521537200000,20,1,1,0.0001,SWAP,linear,6590000,10000,live,0.04,0.04,0.3,USDT
1000CHEEMS-USDT,1000CHEEMS,USDT,10000,1732536900000,2521449613000,75,0.1,0.1,0.0000001,SWAP,linear,100000,5000,live,0.04,0.04,0.3,USDT
CHILLGUY-USDT,CHILLGUY,USDT,10,1732518000000,2521422550000,10,1,1,0.00001,SWAP,linear,180000,200000,live,0.04,0.04,0.3,USDT
BAN-USDT,BAN,USDT,10,1731931800000,2520842900000,50,1,1,0.00001,SWAP,linear,300000,30000,live,0.04,0.04,0.3,USDT
HIPPO-USDT,HIPPO,USDT,100,1731501900000,2520413936000,10,1,1,0.000001,SWAP,linear,7000000,600000,live,0.04,0.04,0.3,USDT
ACT-USDT,ACT,USDT,10,1731328200000,2520237060000,50,1,1,0.00001,SWAP,linear,300000,30000,live,0.04,0.04,0.3,USDT
PNUT-USDT,PNUT,USDT,10,1731319200000,2520231835000,50,0.1,0.1,0.00001,SWAP,linear,25000,5000,live,0.04,0.04,0.3,USDT
COW-USDT,COW,USDT,10,1730900700000,2519813513000,75,1,1,0.0001,SWAP,linear,300000,6000,live,0.04,0.04,0.3,USDT
KAIA-USDT,KAIA,USDT,10,1730464200000,2519377323000,75,1,1,0.00001,SWAP,linear,240000,100000,live,0.04,0.04,0.3,USDT
SPX-USDT,SPX,USDT,10,1730282400000,2519192546000,75,0.1,0.1,0.0001,SWAP,linear,120000,8000,live,0.04,0.04,0.3,USDT
GRASS-USDT,GRASS,USDT,10,1730128500000,2519036845000,20,0.1,0.1,0.0001,SWAP,linear,600000,10000,live,0.04,0.04,0.3,USDT
SANTOS-USDT,SANTOS,USDT,1,1730124600000,2519036845000,50,1,1,0.001,SWAP,linear,200000,20000,live,0.04,0.04,0.3,USDT
LUMIA-USDT,LUMIA,USDT,1,1729852200000,2518768077000,50,1,1,0.0001,SWAP,linear,600000,500000,live,0.04,0.04,0.3,USDT
GOAT-USDT,GOAT,USDT,10,1729681200000,2518596646000,75,1,1,0.00001,SWAP,linear,3000000,300000,live,0.04,0.04,0.3,USDT
DEEP-USDT,DEEP,USDT,100,1729245600000,2518154965000,25,0.1,0.1,0.00001,SWAP,linear,15000,3000,live,0.04,0.04,0.3,USDT
DIA-USDT,DIA,USDT,10,1728464400000,2517362708000,50,1,1,0.0001,SWAP,linear,100000,20000,live,0.04,0.04,0.3,USDT
NEIRO-USDT,NEIRO,USDT,1000,1728381600000,2517288230000,75,1,1,0.0000001,SWAP,linear,4000000,100000,live,0.04,0.04,0.3,USDT
MOODENG-USDT,MOODENG,USDT,10,1727791200000,2516700012000,75,1,1,0.00001,SWAP,linear,800000,45000,live,0.04,0.04,0.3,USDT
EIGEN-USDT,EIGEN,USDT,1,1727791200000,2516699698000,20,1,1,0.0001,SWAP,linear,5000000,20000,live,0.04,0.04,0.3,USDT
HMSTR-USDT,HMSTR,USDT,1000,1727354700000,2516165557000,20,1,1,0.0000001,SWAP,linear,4730000,10000,live,0.04,0.04,0.3,USDT
CATI-USDT,CATI,USDT,10,1726835400000,2515715800000,50,1,1,0.00001,SWAP,linear,5000000,10000,live,0.04,0.04,0.3,USDT
FIDA-USDT,FIDA,USDT,10,1726750800000,2515664540000,75,1,1,0.00001,SWAP,linear,400000,40000,live,0.04,0.04,0.3,USDT
ALEO-USDT,ALEO,USDT,1,1726745400000,2515660790000,20,1,1,0.0001,SWAP,linear,29000,5800,live,0.04,0.04,0.3,USDT
RPL-USDT,RPL,USDT,0.1,1725886800000,2514797471000,50,1,1,0.001,SWAP,linear,1000000,50000,live,0.04,0.04,0.3,USDT
POL-USDT,POL,USDT,10,1725537600000,2198834084000,75,1,1,0.00001,SWAP,linear,250000,50000,live,0.04,0.04,0.3,USDT
FLUX-USDT,FLUX,USDT,10,1725348600000,2198644561000,50,1,1,0.0001,SWAP,linear,200000,60000,live,0.04,0.04,0.3,USDT
CHESS-USDT,CHESS,USDT,10,1724920200000,2198214292000,10,1,1,0.00001,SWAP,linear,1000000,100000,live,0.04,0.04,0.3,USDT
ORDER-USDT,ORDER,USDT,10,1724763600000,2198057880000,16,1,1,0.00001,SWAP,linear,40000,8000,live,0.04,0.04,0.3,USDT
SUN-USDT,SUN,USDT,100,1724333400000,2197628725000,50,1,1,0.000001,SWAP,linear,500000,50000,live,0.04,0.04,0.3,USDT
SYS-USDT,SYS,USDT,10,1724074200000,2197351426000,50,1,1,0.00001,SWAP,linear,1000000,100000,live,0.04,0.04,0.3,USDT
SYN-USDT,SYN,USDT,10,1723815000000,2195740800000,50,1,1,0.00001,SWAP,linear,100000,100000,live,0.04,0.04,0.3,USDT
RENDER-USDT,RENDER,USDT,0.1,1722250800000,2493043200000,20,1,1,0.001,SWAP,linear,20000000,200000,live,0.04,0.04,0.3,USDT
G-USDT,G,USDT,100,1721991600000,2493043200000,50,1,1,0.000001,SWAP,linear,100000,30000,live,0.04,0.04,0.3,USDT
BANANA-USDT,BANANA,USDT,0.1,1721403000000,1861891200000,50,1,1,0.001,SWAP,linear,1500000,40000,live,0.04,0.04,0.3,USDT
AERO-USDT,AERO,USDT,1,1721118600000,2493043200000,25,1,1,0.0001,SWAP,linear,150000,30000,live,0.04,0.04,0.3,USDT
MOCA-USDT,MOCA,USDT,10,1721118600000,1861891200000,75,1,1,0.00001,SWAP,linear,90000,75000,live,0.04,0.04,0.3,USDT
BLAST-USDT,BLAST,USDT,100,1719489600000,4918462680168,20,1,1,0.0000001,SWAP,linear,40000,8000,live,0.04,0.1,0.15,USDT
AKT-USDT,AKT,USDT,1,1719399600000,4918462660080,50,1,1,0.0001,SWAP,linear,40000,8000,live,0.04,0.04,0.3,USDT
ZRO-USDT,ZRO,USDT,1,1718899200000,2537625600000,75,1,1,0.0001,SWAP,linear,3000000,50000,live,0.06,0.06,0.3,USDT
LISTA-USDT,LISTA,USDT,10,1718889305000,2553436800000,50,1,1,0.0001,SWAP,linear,100000,50000,live,0.06,0.06,0.3,USDT
ZK-USDT,ZK,USDT,10,1718627405000,2553436800000,20,1,1,0.00001,SWAP,linear,10000000,30000,live,0.06,0.06,0.3,USDT
ATH-USDT,ATH,USDT,100,1718281805000,2553436800000,75,1,1,0.00001,SWAP,linear,3000000,20000,live,0.04,0.04,0.3,USDT
1000000BABYDOGE-USDT,1000000BABYDOGE,USDT,1000,1718190005000,2553436800000,25,1,1,0.0000001,SWAP,linear,60000,12000,live,0.06,0.06,0.3,USDT
IO-USDT,IO,USDT,1,1718037005000,2553436800000,75,1,1,0.0001,SWAP,linear,1000000,100000,live,0.06,0.06,0.3,USDT
TAIKO-USDT,TAIKO,USDT,1,1717662605000,2553436800000,25,1,1,0.0001,SWAP,linear,40000,8000,live,0.06,0.06,0.3,USDT
1000000MOG-USDT,1000000MOG,USDT,1,1716805805000,2553436800000,75,1,1,0.0001,SWAP,linear,3000000,300000,live,0.06,0.06,0.3,USDT
DRIFT-USDT,DRIFT,USDT,10,1716373805000,2553436800000,50,0.1,0.1,0.0001,SWAP,linear,100000,5000,live,0.06,0.06,0.3,USDT
NOT-USDT,NOT,USDT,1000,1715877905000,2553436800000,20,1,1,0.0000001,SWAP,linear,3000000,10000,live,0.06,0.06,0.3,USDT
BB-USDT,BB,USDT,10,1715605205000,1922284800000,50,1,1,0.00001,SWAP,linear,100000,50000,live,0.06,0.06,0.3,USDT
REZ-USDT,REZ,USDT,10,1714489205000,4898048017045,50,1,1,0.000001,SWAP,linear,1000000,1000000,live,0.06,0.06,0.3,USDT
SAFE-USDT,SAFE,USDT,1,1714465805000,4898048029588,50,1,1,0.0001,SWAP,linear,800000,200000,live,0.06,0.06,0.3,USDT
BRETT-USDT,BRETT,USDT,100,1714393805000,1922284800000,75,0.1,0.1,0.00001,SWAP,linear,100000,10000,live,0.06,0.06,0.3,USDT
ORCA-USDT,ORCA,USDT,1,1713861005000,1922284800000,50,1,1,0.001,SWAP,linear,1500000,30000,live,0.06,0.06,0.3,USDT
ZBCN-USDT,ZBCN,USDT,1000,1713861005000,1922284800000,12,1,1,0.0000001,SWAP,linear,40000,8000,live,0.06,0.06,0.3,USDT
MEW-USDT,MEW,USDT,1000,1713342605000,1922329800000,50,0.1,0.1,0.000001,SWAP,linear,6000000,20000,live,0.04,0.04,0.3,USDT
SAGA-USDT,SAGA,USDT,1,1712662205000,1922284800000,75,1,1,0.00001,SWAP,linear,1000000,70000,live,0.06,0.06,0.3,USDT
W-USDT,W,USDT,1,1712159105000,1922284800000,75,1,1,0.00001,SWAP,linear,80000000,50000,live,0.04,0.04,0.3,USDT
ENA-USDT,ENA,USDT,10,1712072705000,1922284800000,75,0.1,0.1,0.0001,SWAP,linear,1000000,30000,live,0.06,0.06,0.3,USDT
DEGEN-USDT,DEGEN,USDT,100,1712053805000,1922284800000,50,1,1,0.000001,SWAP,linear,180000,38000,live,0.06,0.06,0.3,USDT
POPCAT-USDT,POPCAT,USDT,10,1711621805000,1922284800000,50,0.1,0.1,0.0001,SWAP,linear,200000,20000,live,0.06,0.06,0.3,USDT
RAY-USDT,RAY,USDT,1,1711449005000,1922284800000,20,1,1,0.0001,SWAP,linear,3200000,20000,live,0.04,0.04,0.3,USDT
ETHFI-USDT,ETHFI,USDT,1,1710837005000,1922284800000,75,1,1,0.0001,SWAP,linear,2000000,200000,live,0.04,0.04,0.3,USDT
BOME-USDT,BOME,USDT,1000,1710504005000,1922284800000,75,1,1,0.0000001,SWAP,linear,200000,30000,live,0.06,0.06,0.3,USDT
VANRY-USDT,VANRY,USDT,10,1710412205000,4911069994326,50,1,1,0.00001,SWAP,linear,1000000,200000,live,0.06,0.06,0.3,USDT
AEVO-USDT,AEVO,USDT,1,1710340205000,4902906277373,20,1,1,0.00001,SWAP,linear,42780000,30000,live,0.04,0.04,0.3,USDT
PORTAL-USDT,PORTAL,USDT,1,1709223305000,1922284800000,25,1,1,0.00001,SWAP,linear,1000000,400000,live,0.06,0.06,0.3,USDT
GLM-USDT,GLM,USDT,10,1708605005000,1922284800000,20,1,1,0.00001,SWAP,linear,500000,20000,live,0.06,0.06,0.3,USDT
STRK-USDT,STRK,USDT,1,1708489805000,1922284800000,50,1,1,0.0001,SWAP,linear,20000000,2000000,live,0.04,0.04,0.3,USDT
PIXEL-USDT,PIXEL,USDT,10,1708425005000,1922284800000,50,1,1,0.00001,SWAP,linear,500000,500000,live,0.06,0.06,0.3,USDT
OM-USDT,OM,USDT,10,1708317005000,1922284800000,75,0.1,0.1,0.00001,SWAP,linear,280000,90000,live,0.04,0.04,0.15,USDT
DYM-USDT,DYM,USDT,1,1707301805000,1896105600000,50,1,1,0.00001,SWAP,linear,1000000,250000,live,0.06,0.06,0.3,USDT
ZETA-USDT,ZETA,USDT,10,1706783405000,1922284800000,50,1,1,0.0001,SWAP,linear,3000000,10000,live,0.04,0.04,0.3,USDT
JUP-USDT,JUP,USDT,1,1706754605000,1922284800000,50,1,1,0.0001,SWAP,linear,18000000,200000,live,0.04,0.04,0.3,USDT
TAO-USDT,TAO,USDT,0.01,1712835005000,4907013982329,75,1,1,0.01,SWAP,linear,30000,18000,live,0.04,0.04,0.3,USDT
PROM-USDT,PROM,USDT,1,1706608805000,1922329800000,50,1,1,0.001,SWAP,linear,100000,15000,live,0.06,0.06,0.3,USDT
ALT-USDT,ALT,USDT,1,1706608805000,1922329800000,50,1,1,0.00001,SWAP,linear,10000000,1000000,live,0.06,0.06,0.3,USDT
MBOX-USDT,MBOX,USDT,1,1705919405000,1893427200000,50,1,1,0.00001,SWAP,linear,10000000,1200000,live,0.06,0.06,0.3,USDT
ONDO-USDT,ONDO,USDT,0.1,1705919405000,4907119353800,50,1,1,0.0001,SWAP,linear,300000000,2000000,live,0.04,0.04,0.3,USDT
MANTA-USDT,MANTA,USDT,0.1,1705919405000,1893427200000,50,1,1,0.0001,SWAP,linear,10000000,2000000,live,0.06,0.06,0.3,USDT
WIF-USDT,WIF,USDT,1,1705587315000,1893427200000,75,1,1,0.0001,SWAP,linear,24000000,50000,live,0.06,0.06,0.3,USDT
XAI-USDT,XAI,USDT,1,1704814205000,1893427200000,75,1,1,0.00001,SWAP,linear,6000000,110000,live,0.06,0.06,0.3,USDT
AI-USDT,AI,USDT,1,1704718805000,1893427200000,50,1,1,0.00001,SWAP,linear,1000000,70000,live,0.06,0.06,0.3,USDT
METIS-USDT,METIS,USDT,1,1704357005000,1893427200000,50,0.1,0.1,0.001,SWAP,linear,100000,2000,live,0.04,0.04,0.3,USDT
NFP-USDT,NFP,USDT,1,1703680205000,1861891200000,50,1,1,0.00001,SWAP,linear,540300,150000,live,0.06,0.06,0.3,USDT
ACE-USDT,ACE,USDT,1,1702888205000,1890748800000,20,1,1,0.0001,SWAP,linear,20000000,10000,live,0.04,0.04,0.3,USDT
TURBO-USDT,TURBO,USDT,10000,1702557605000,1890748800000,75,0.1,0.1,0.0000001,SWAP,linear,250000,2000,live,0.04,0.04,0.3,USDT
JTO-USDT,JTO,USDT,1,1702024205000,1890748800000,75,0.1,0.1,0.0001,SWAP,linear,800000,8000,live,0.04,0.04,0.3,USDT
AXL-USDT,AXL,USDT,1,1701959405000,1891345149000,75,1,1,0.0001,SWAP,linear,1000000,600000,live,0.06,0.06,0.3,USDT
AUCTION-USDT,AUCTION,USDT,0.1,1701426605000,1890811026000,20,1,1,0.001,SWAP,linear,8000000,100000,live,0.04,0.04,0.3,USDT
RARE-USDT,RARE,USDT,1,1701160205000,1890531473000,50,1,1,0.00001,SWAP,linear,1500000,380000,live,0.06,0.06,0.3,USDT
UMA-USDT,UMA,USDT,0.1,1697617800000,1886315400000,20,1,1,0.0001,SWAP,linear,100000000,150000,live,0.06,0.06,0.3,USDT
USTC-USDT,USTC,USDT,1,1701088205000,1888156800000,50,1,1,0.000001,SWAP,linear,13816000,1382000,live,0.04,0.04,0.3,USDT
